# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
213 0.398412704  1.509960175  4.359917728  9.438829156  24.7314
214 0.400000006  1.500000000  4.384677047  9.414069837  24.7593
215 0.401587307  1.490118504  4.409463954  9.389282930  24.7869
216 0.403174609  1.480314970  4.434278151  9.364468732  24.8142
217 0.404761910  1.470588207  4.459119343  9.339627541  24.8412
218 0.406349212  1.460937500  4.483987231  9.314759653  24.8679
219 0.407936513  1.451361895  4.508881520  9.289865364  24.8943
220 0.409523785  1.441860676  4.533801447  9.264945437  24.9199
221 0.411111087  1.432432652  4.558747652  9.239999231  24.9462
222 0.412698388  1.423077106  4.583719374  9.215027509  24.9717
223 0.414285690  1.413793325  4.608716320  9.190030563  24.9969
224 0.415872991  1.404580355  4.633738196  9.165008687  25.0219
225 0.417460293  1.395437479  4.658784711  9.139962173  25.0465
226 0.419047594  1.386363745  4.683855572  9.114891311  25.0709
227 0.420634896  1.377358675  4.708950489  9.089796395  25.0949
228 0.422222197  1.368421078  4.734069171  9.064677713  25.1187
229 0.423809499  1.359550714  4.759211328  9.039535555  25.1422
230 0.425396800  1.350746393  4.784376673  9.014370211  25.1653
231 0.426984102  1.342007637  4.809564915  8.989181969  25.1882
232 0.428571403  1.333333492  4.834775767  8.963971116  25.2109
233 0.430158705  1.324723482  4.860008943  8.938737940  25.2332
234 0.431746006  1.316176653  4.885264156  8.913482727  25.2552
235 0.433333308  1.307692528  4.910541120  8.888205763  25.2770
236 0.434920609  1.299270153  4.935839551  8.862907333  25.2984
237 0.436507910  1.290909290  4.961159163  8.837587720  25.3196
238 0.438095212  1.282608747  4.986499674  8.812247209  25.3405
239 0.439682513  1.274368286  5.011860801  8.786886083  25.3611
240 0.441269785  1.266187429  5.037241784  8.761505099  25.3810
241 0.442857087  1.258064747  5.062643296  8.736103588  25.4015
242 0.444444388  1.250000238  5.088064579  8.710682305  25.4213
243 0.446031690  1.241993189  5.113505353  8.685241530  25.4408
244 0.447618991  1.234042883  5.138965340  8.659781543  25.4600
245 0.449206293  1.226148605  5.164444261  8.634302623  25.4789
246 0.450793713  1.218309641  5.189943753  8.608803130  25.4995
247 0.452381015  1.210525990  5.215459711  8.583287173  25.5160
248 0.453968287  1.202796936  5.240993292  8.557753592  25.5336
249 0.455555588  1.195121765  5.266545180  8.532201704  25.5519
250 0.457142889  1.187499762  5.292114621  8.506632262  25.5694
251 0.458730191  1.179930687  5.317701342  8.481045542  25.5867
252 0.460317492  1.172413588  5.343305069  8.455441814  25.6037
253 0.461904794  1.164948225  5.368925531  8.429821352  25.6205
254 0.463492095  1.157534122  5.394562456  8.404184428  25.6369
255 0.465079397  1.150170565  5.420215573  8.378531310  25.6531
256 0.466666698  1.142857075  5.445884613  8.352862270  25.6690
257 0.468254000  1.135593176  5.471569307  8.327177576  25.6847
258 0.469841301  1.128378153  5.497269388  8.301477496  25.7001
259 0.471428603  1.121212006  5.522984587  8.275762297  25.7152
260 0.473015904  1.114093781  5.548714638  8.250032245  25.7301
261 0.474603206  1.107023239  5.574459277  8.224287607  25.7446
262 0.476190507  1.099999905  5.600218238  8.198528646  25.7590
263 0.477777809  1.093023062  5.625991258  8.172755626  25.7730
264 0.479365110  1.086092472  5.651778073  8.146968810  25.7868
265 0.480952412  1.079207897  5.677578423  8.121168460  25.8003
266 0.482539713  1.072368383  5.703392046  8.095354838  25.8136
267 0.484127015  1.065573692  5.729218681  8.069528202  25.8266
268 0.485714287  1.058823586  5.755057585  8.043689299  25.8389
269 0.487301588  1.052117348  5.780909468  8.017837415  25.8519
270 0.488888890  1.045454502  5.806773590  7.991973294  25.8641
271 0.490476191  1.038835049  5.832649692  7.966097191  25.8761
272 0.492063493  1.032258034  5.858537521  7.940209363  25.8878
273 0.493650794  1.025723457  5.884436820  7.914310064  25.8993
274 0.495238096  1.019230843  5.910347336  7.888399547  25.9105
275 0.496825397  1.012779474  5.936268817  7.862478067  25.9215
276 0.498412699  1.006369352  5.962201010  7.836545874  25.9322
277 0.500000000  1.000000000  5.988143665  7.810603219  25.9427
278 0.501592398  0.993650675  6.014179872  7.784567012  26.0362
279 0.503184676  0.987341881  6.040224155  7.758522729  26.0443
280 0.504777074  0.981072545  6.066280163  7.732466721  26.0560
281 0.506369412  0.974842787  6.092344722  7.706402162  26.0646
282 0.507961810  0.968651891  6.118419533  7.680327350  26.0748
283 0.509554088  0.962500215  6.144501423  7.654245461  26.0819
284 0.511146486  0.956386328  6.170594049  7.628152835  26.0926
285 0.512738883  0.950310469  6.196695213  7.602051671  26.1012
286 0.514331222  0.944272399  6.222803694  7.575943189  26.1085
287 0.515923619  0.938271403  6.248921203  7.549825680  26.1175
288 0.517515898  0.932307839  6.275044565  7.523702318  26.1234
289 0.519108295  0.926380277  6.301177450  7.497569434  26.1329
290 0.520700574  0.920489550  6.327315704  7.471431180  26.1383
291 0.522292972  0.914634228  6.353463002  7.445283881  26.1473
292 0.523885429  0.908814311  6.379618130  7.419128754  26.1551
293 0.525477707  0.903030276  6.405776931  7.392969952  26.1588
