# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
145 0.290064096  2.447513819  2.665941861 11.070274161  21.6836
146 0.291666687  2.428571224  2.687676159 11.048539864  21.7343
147 0.293269187  2.409836531  2.709459634 11.026756389  21.7835
148 0.294871807  2.391304255  2.731294817 11.004921205  21.8352
149 0.296474397  2.372972488  2.753179376 10.983036646  21.8846
150 0.298076898  2.354839087  2.775112187 10.961103836  21.9328
151 0.299679488  2.336898327  2.797095391 10.939120631  21.9832
152 0.301282108  2.319148302  2.819127873 10.917088149  22.0325
153 0.302884609  2.301587343  2.841207277 10.895008745  22.0794
154 0.304487199  2.284210205  2.863336172 10.872879850  22.1289
155 0.306089699  2.267016172  2.885511788 10.850704235  22.1756
156 0.307692289  2.250000238  2.907736295 10.828479727  22.2245
157 0.309294909  2.233160257  2.930008573 10.806207449  22.2723
158 0.310897410  2.216495037  2.952326245 10.783889778  22.3177
159 0.312500000  2.200000048  2.974691914 10.761524108  22.3657
160 0.314102590  2.183673143  2.997104037 10.739111985  22.4121
161 0.315705091  2.167513132  3.019561061 10.716654961  22.4570
162 0.317307711  2.151515007  3.042065611 10.694150411  22.5045
163 0.318910301  2.135678053  3.064615300 10.671600722  22.5497
164 0.320512801  2.120000124  3.087208987 10.649007036  22.5937
165 0.322115391  2.104477644  3.109848894 10.626367128  22.6399
166 0.323717892  2.089109421  3.132532199 10.603683823  22.6833
167 0.325320512  2.073891640  3.155261560 10.580954462  22.7294
168 0.326923102  2.058823347  3.178034570 10.558181452  22.7730
169 0.328525603  2.043902874  3.200850082 10.535365940  22.8155
170 0.330128193  2.029126406  3.223710346 10.512505676  22.8603
171 0.331730813  2.014492273  3.246614222 10.489601800  22.9039
172 0.333333313  2.000000238  3.269559283 10.466656739  22.9451
173 0.334920585  1.985782385  3.292328279 10.443887744  22.7690
174 0.336507887  1.971698523  3.315139204 10.421076818  22.8109
175 0.338095188  1.957746983  3.337991348 10.398224674  22.8521
176 0.339682490  1.943925619  3.360884425 10.375331597  22.8931
177 0.341269791  1.930233002  3.383818151 10.352397871  22.9337
178 0.342857093  1.916666985  3.406792243 10.329423779  22.9741
179 0.344444394  1.903226137  3.429806416 10.306409606  23.0142
180 0.346031696  1.889908791  3.452860389 10.283355633  23.0540
181 0.347618997  1.876712799  3.475953877 10.260262145  23.0935
182 0.349206299  1.863636732  3.499086600 10.237129422  23.1327
183 0.350793689  1.850678444  3.522259581 10.213956442  23.1730
184 0.352380991  1.837837458  3.545469928 10.190746094  23.2103
185 0.353968292  1.825111866  3.568718664 10.167497358  23.2487
186 0.355555594  1.812499762  3.592005509 10.144210514  23.2868
